player,player_id,position,team_name,player_game_count,coverage_snaps,coverage_snaps_per_reception,coverage_snaps_per_target,franchise_id,interceptions,qb_rating_against,receptions,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap
Kevin Winston Jr.,164192,S,PENN STATE,1,3,3.0,3.0,266,0,112.5,1,1,0,11,14,3.67
Brandon Howard,162112,S,CHARLES SO,1,3,3.0,3.0,135,0,79.2,1,1,0,-3,0,-1.0
Romeo Wykle,89155,S,CHATTNOOGA,1,14,2.8,2.3,137,0,98.6,5,6,0,46,31,3.29
Bangally Kamara,123012,LB,PITTSBURGH,1,8,2.7,2.7,268,0,118.8,3,3,0,40,48,5.0
TaMuarion Wilson,121402,S,CENT ARK,1,8,2.7,2.0,132,0,116.7,3,4,1,11,9,1.38
Donald Lee,155503,CB,GRAMBLING,1,8,2.7,2.0,177,0,101.0,3,4,0,35,29,4.38
Kadon Kauppinen,87042,S,N DAKOTA,1,8,2.7,2.7,249,0,118.8,3,3,0,47,15,5.88
Jarron Morris,83402,S,FAU,1,21,2.6,2.6,165,0,158.3,8,8,1,144,83,6.86
Tylan Hollis,142853,LB,CHARLES SO,1,5,2.5,2.5,135,0,104.2,2,2,0,18,11,3.6
Jonas Sanker,151097,S,VIRGINIA,1,10,2.5,2.5,335,0,87.5,4,4,0,20,13,2.0
Jared Bartlett,99374,ED,W VIRGINIA,1,5,2.5,2.5,343,0,104.2,2,2,0,18,16,3.6
Matthew McClelland,160565,S,MOREHEAD,1,5,2.5,2.5,234,0,91.7,2,2,0,12,5,2.4
Marquis Britten,55604,CB,GRAMBLING,1,10,2.5,2.0,177,0,137.9,4,5,1,38,22,3.8
Nathan Hajduk,162245,LB,PRESBYTERN,1,5,2.5,1.7,271,0,70.1,2,3,0,2,7,0.4
Cael Bright,186509,CB,W GEORGIA,1,10,2.5,2.5,1177,0,102.1,4,4,0,34,8,3.4
Mike Smith Jr.,122255,S,E KENTUCKY,1,5,2.5,2.5,159,0,158.3,2,2,1,80,9,16.0
Thomas Joe-Kamara,97527,S,MONMOUTH,1,5,2.5,2.5,231,0,118.8,2,2,0,38,16,7.6
Tucker Large,148243,S,S DAK ST,1,5,2.5,2.5,292,0,93.8,2,2,0,13,13,2.6
Cameron Jamar,164298,CB,N ALABAMA,1,5,2.5,2.5,389,0,104.2,2,2,0,18,12,3.6
Kolbi Fuqua,84139,CB,JVILLE ST,1,22,2.4,2.2,196,0,95.0,9,10,0,68,53,3.09
Tim Coutras,147546,S,TENN TECH,1,9,2.3,2.3,309,0,79.2,4,4,0,11,25,1.22
Devon Williams,144984,LB,MINNESOTA,1,7,2.3,1.8,225,0,156.3,3,4,1,64,65,9.14
Kenny Soares Jr.,162852,LB,NWESTERN,1,2,2.0,2.0,256,0,79.2,1,1,0,1,4,0.5
Dallas Gant,81352,LB,TOLEDO,1,4,2.0,2.0,316,0,100.0,2,2,0,16,3,4.0
Johnny Hodges,121850,LB,TCU,1,2,2.0,2.0,305,0,79.2,1,1,0,2,4,1.0
Jack Dingle,144217,LB,CINCINNATI,1,2,2.0,2.0,138,0,79.2,1,1,0,2,7,1.0
Graham Spalding,103786,LB,S DAK ST,1,2,2.0,2.0,292,1,79.2,1,1,1,1,3,0.5
Trevon Booker,97468,CB,CAMPBELL,1,2,2.0,2.0,131,0,118.8,1,1,0,28,2,14.0
Jeremiah Earby,158316,CB,CAL,1,2,2.0,2.0,130,0,135.4,1,1,1,7,0,3.5
Keaton Ellis,97338,S,PENN STATE,1,2,2.0,2.0,266,0,118.8,1,1,1,1,0,0.5
Tyrece Mills,164179,S,PENN STATE,1,2,2.0,2.0,266,0,79.2,1,1,0,-3,0,-1.5
Myles Talley,108114,LB,SACR HEART,1,2,2.0,2.0,280,0,79.2,1,1,0,-1,0,-0.5
Damien Curtis,150039,CB,WOFFORD,1,2,2.0,2.0,350,0,156.3,1,1,1,12,0,6.0
Quadric Bullard,123735,S,UCF,1,2,2.0,2.0,323,0,118.8,1,1,0,35,1,17.5
Nick Kubitz,106811,LB,N DAK ST,1,2,2.0,2.0,250,0,118.8,1,1,0,13,16,6.5
Mason Young,175131,S,IDAHO ST,1,2,2.0,2.0,186,0,87.5,1,1,0,5,0,2.5
Tre'Vez Johnson,124383,S,MISSOURI,1,4,2.0,2.0,229,0,150.0,2,2,1,21,20,5.25
Jaden Davis,97250,CB,MIAMI FL,1,2,2.0,2.0,220,0,79.2,1,1,0,3,0,1.5
Antonio Doyle Jr.,124315,ED,JACKSON ST,1,2,2.0,2.0,194,0,116.7,1,1,0,12,4,6.0
Tui Faumuina-Brown,147395,LB,UCONN,1,2,2.0,2.0,146,0,118.8,1,1,0,14,0,7.0
Jordan Scott,150221,S,UTAHTC,1,2,2.0,2.0,1285,0,79.2,1,1,0,1,8,0.5
Cecil Singleton Jr.,76760,S,LA TECH,1,4,2.0,2.0,208,0,118.8,2,2,0,56,47,14.0
Fadil Diggs,124314,ED,TEXAS A&M,1,2,2.0,2.0,312,0,118.8,1,1,0,24,12,12.0
Ryan Crandall,164935,LB,W ILLINOIS,1,2,2.0,2.0,345,0,116.7,1,1,0,12,5,6.0
Jagger Williams,150226,S,UTAHTC,1,2,2.0,2.0,1285,0,116.7,1,1,0,12,20,6.0
Chris Russell Jr.,98989,LB,TEXAS A&M,1,2,2.0,2.0,312,0,108.3,1,1,0,10,11,5.0
Cail Jackson,160250,S,ALABAMA ST,1,4,2.0,2.0,105,0,100.0,2,2,0,16,4,4.0
Jaren Kanak,158070,LB,OKLAHOMA,1,2,2.0,2.0,261,0,112.5,1,1,0,11,3,5.5
Jayden Price,91252,CB,N DAK ST,1,2,2.0,2.0,250,0,158.3,1,1,1,46,20,23.0
Joseph White,90870,S,NORFOLK,1,4,2.0,2.0,244,0,143.8,2,2,1,18,13,4.5
Colton Adams,102056,LB,ALABAMA ST,1,2,2.0,2.0,105,0,87.5,1,1,0,5,0,2.5
Tyreese Shakir,73488,S,PORTLAND,1,8,2.0,2.0,269,0,158.3,4,4,1,60,0,7.5
Rassie Littlejohn,105907,S,STETSON,1,2,2.0,2.0,302,0,95.8,1,1,0,7,10,3.5
Noah Taylor,52348,LB,CORNELL,1,2,2.0,2.0,147,0,79.2,1,1,0,3,0,1.5
Tyler Ochojski,159776,LB,LEHIGH,1,2,2.0,2.0,205,0,104.2,1,1,0,9,4,4.5
Cedric Gray,122835,LB,N CAROLINA,1,2,2.0,2.0,245,0,116.7,1,1,0,12,1,6.0
Christian Fuhrman,159623,LB,SE MO ST,1,2,2.0,2.0,293,0,100.0,1,1,0,8,3,4.0
Tony Overstreet,181199,LB,ALAB A&M,1,2,2.0,1.0,104,0,85.4,1,2,0,20,6,10.0
Mbiti Williams Jr.,144352,S,NAVY,1,4,2.0,2.0,237,0,147.9,2,2,1,20,1,5.0
Eddie Morales III,79129,CB,MONMOUTH,1,2,2.0,1.0,231,0,56.3,1,2,0,0,4,0.0
Malik Barnes,178596,LB,CHARLES SO,1,2,2.0,2.0,135,0,87.5,1,1,0,5,8,2.5
Alphonso Taylor,100396,S,ARIZONA ST,1,2,2.0,2.0,110,0,91.7,1,1,0,6,2,3.0
Charlie Bless,143164,LB,BUTLER,1,2,2.0,2.0,127,0,95.8,1,1,0,7,7,3.5
Anwar Sparrow,123054,ED,SYRACUSE,1,2,2.0,2.0,304,0,79.2,1,1,0,-1,1,-0.5
Braxton Hill,105326,LB,MONTANA,1,2,2.0,2.0,232,0,100.0,1,1,0,8,9,4.0
Vincent Nunley,146480,S,WASHINGTON,1,2,2.0,2.0,340,0,158.3,1,1,1,20,0,10.0
Marlowe Wax,123057,LB,SYRACUSE,1,2,2.0,2.0,304,0,104.2,1,1,0,9,11,4.5
Malik Woodery,139489,CB,NICHOLLS,1,2,2.0,2.0,243,0,158.3,1,1,1,19,0,9.5
Kade Werner,178401,S,MARIST,1,2,2.0,2.0,213,0,87.5,1,1,0,5,1,2.5
Wade Woodaz,156237,LB,CLEMSON,1,2,2.0,2.0,140,0,79.2,1,1,0,2,6,1.0
Oluwafemi Oladejo,146302,LB,UCLA,1,2,2.0,2.0,324,0,91.7,1,1,0,6,10,3.0
Devyn Perkins,141301,CB,UTAHTC,1,2,2.0,2.0,1285,0,83.3,1,1,0,4,5,2.0
Brian Holloway,101002,LB,TEXAS ST,1,2,2.0,2.0,314,0,118.8,1,1,0,13,0,6.5
Jhasi Wilson,104548,LB,N ARIZONA,1,2,2.0,2.0,252,0,91.7,1,1,0,6,7,3.0
Jordan Veneziale,97542,LB,GA STATE,1,2,2.0,2.0,175,0,118.8,1,1,0,30,36,15.0
Ryan Selig,77254,LB,MINNESOTA,1,2,2.0,2.0,225,0,118.8,1,1,0,14,9,7.0
Cam Riley,124001,LB,AUBURN,1,2,2.0,2.0,115,0,118.8,1,1,0,24,13,12.0
