player,player_id,position,team_name,player_game_count,base_snap_counts_coverage,declined_penalties,franchise_id,man_assists,man_avg_depth_of_target,man_catch_rate,man_coverage_percent,man_coverage_snaps_per_reception,man_coverage_snaps_per_target,man_dropped_ints,man_forced_incompletes,man_forced_incompletion_rate,man_grades_coverage_defense,man_interceptions,man_longest,man_missed_tackle_rate,man_missed_tackles,man_pass_break_ups,man_qb_rating_against,man_receptions,man_snap_counts_coverage,man_snap_counts_coverage_percent,man_snap_counts_pass_play,man_stops,man_tackles,man_targets,man_touchdowns,man_yards,man_yards_after_catch,man_yards_per_coverage_snap,man_yards_per_reception,penalties,zone_assists,zone_avg_depth_of_target,zone_catch_rate,zone_coverage_percent,zone_coverage_snaps_per_reception,zone_coverage_snaps_per_target,zone_dropped_ints,zone_forced_incompletes,zone_forced_incompletion_rate,zone_grades_coverage_defense,zone_interceptions,zone_longest,zone_missed_tackle_rate,zone_missed_tackles,zone_pass_break_ups,zone_qb_rating_against,zone_receptions,zone_snap_counts_coverage,zone_snap_counts_coverage_percent,zone_snap_counts_pass_play,zone_stops,zone_tackles,zone_targets,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_per_coverage_snap,zone_yards_per_reception
Jonathan McGill,100607,S,SMU,1,28,0,287,0,7.0,0.0,83.3,,5.0,0,1,100.0,71.8,0,,,0,0,39.6,0,5,17.9,6,0,0,1,0,0,0,0.0,,0,0,0.0,100.0,95.8,23.0,23.0,0,0,0.0,65.6,0,6,50.0,1,0,91.7,1,23,82.1,24,1,1,1,0,6,6,0.3,6.0
Smith Vilbert,101408,ED,PENN STATE,1,1,0,266,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,4,0,0,0,0,0,0,,,0,0,,,11.1,,,0,0,,60.0,0,,,0,0,0.0,0,1,100.0,9,0,0,0,0,0,0,0.0,
R.J. Mickens,122153,S,CLEMSON,1,31,0,140,0,,,100.0,,,0,0,,62.5,0,,,0,0,0.0,0,4,12.9,4,0,0,0,0,0,0,0.0,,0,0,14.0,66.7,96.2,11.0,7.3,0,1,33.3,57.8,1,19,0.0,0,0,92.4,2,25,80.6,26,0,2,3,1,25,2,1.1,12.5
Xavier Watts,122914,S,NOTRE DAME,1,42,0,258,2,0.0,100.0,100.0,25.0,25.0,0,0,0.0,75.0,1,1,20.0,1,0,39.6,1,27,64.3,27,1,2,1,0,1,1,0.0,1.0,0,0,,,100.0,,,0,0,,52.8,0,,0.0,0,0,0.0,0,10,23.8,10,0,1,0,0,0,0,0.0,
Jahdae Barron,123105,CB,TEXAS,1,46,0,311,0,,,100.0,,,0,0,,65.0,0,,,0,0,0.0,0,9,19.6,9,0,0,0,0,0,0,0.0,,0,0,9.5,50.0,94.7,9.0,4.5,0,2,25.0,81.5,0,9,0.0,0,2,56.3,4,36,78.3,38,2,4,8,0,23,4,0.6,5.8
Gavin Holmes,123389,CB,TEXAS,1,19,0,311,0,2.0,0.0,100.0,,5.0,0,1,100.0,71.1,0,,,0,0,39.6,0,6,31.6,6,0,0,1,0,0,0,0.0,,0,1,17.5,0.0,100.0,,6.5,0,0,0.0,60.0,0,,0.0,0,0,39.6,0,13,68.4,13,0,0,2,0,0,0,0.0,
Lanell Carr,123411,ED,INDIANA,1,5,0,190,0,,,0.0,,,0,0,,60.2,0,,100.0,1,0,0.0,0,0,0.0,4,0,0,0,0,0,0,,,0,0,,,14.8,,,0,0,,61.1,0,,,0,0,0.0,0,4,80.0,27,0,0,0,0,0,0,0.0,
Jalen Kimber,124026,CB,PENN STATE,1,25,0,266,1,5.0,100.0,100.0,5.0,5.0,0,0,0.0,35.1,0,8,0.0,0,0,93.8,2,12,48.0,12,0,2,2,0,13,3,1.3,6.5,0,0,,,100.0,,,0,0,,64.4,0,,,0,0,0.0,0,9,36.0,9,0,0,0,0,0,0,0.0,
Dominic Bailey,124267,ED,TENNESSEE,1,1,0,307,0,,,20.0,,,0,0,,60.0,0,,,0,0,0.0,0,1,100.0,5,0,0,0,0,0,0,0.0,,0,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,13,0,0,0,0,0,0,,
Will Brooks,124273,S,TENNESSEE,1,31,0,307,0,,,80.0,,,0,0,,63.1,0,,,0,0,0.0,0,4,12.9,5,0,0,0,0,0,0,0.0,,0,2,18.0,100.0,100.0,19.0,19.0,0,0,0.0,64.3,0,18,0.0,0,0,118.8,1,22,71.0,22,0,2,1,0,18,0,0.9,18.0
