player,player_id,position,team_name,player_game_count,base_snap_counts_coverage,declined_penalties,franchise_id,man_assists,man_avg_depth_of_target,man_catch_rate,man_coverage_percent,man_coverage_snaps_per_reception,man_coverage_snaps_per_target,man_dropped_ints,man_forced_incompletes,man_forced_incompletion_rate,man_grades_coverage_defense,man_interceptions,man_longest,man_missed_tackle_rate,man_missed_tackles,man_pass_break_ups,man_qb_rating_against,man_receptions,man_snap_counts_coverage,man_snap_counts_coverage_percent,man_snap_counts_pass_play,man_stops,man_tackles,man_targets,man_touchdowns,man_yards,man_yards_after_catch,man_yards_per_coverage_snap,man_yards_per_reception,penalties,zone_assists,zone_avg_depth_of_target,zone_catch_rate,zone_coverage_percent,zone_coverage_snaps_per_reception,zone_coverage_snaps_per_target,zone_dropped_ints,zone_forced_incompletes,zone_forced_incompletion_rate,zone_grades_coverage_defense,zone_interceptions,zone_longest,zone_missed_tackle_rate,zone_missed_tackles,zone_pass_break_ups,zone_qb_rating_against,zone_receptions,zone_snap_counts_coverage,zone_snap_counts_coverage_percent,zone_snap_counts_pass_play,zone_stops,zone_tackles,zone_targets,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_per_coverage_snap,zone_yards_per_reception
Cody Simon,129757,LB,OHIO STATE,1,40,0,260,0,,,55.6,,,0,0,,64.4,0,,0.0,0,0,0.0,0,5,12.5,9,0,1,0,0,0,0,0.0,,0,0,5.0,100.0,100.0,8.7,8.7,0,0,0.0,66.1,0,15,0.0,0,0,106.9,3,26,65.0,26,2,2,3,0,29,14,1.1,9.7
Amin Vanover,129797,ED,PENN STATE,1,2,0,266,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,6,0,0,0,0,0,0,,,0,0,,,33.3,,,0,0,,60.3,0,,,0,0,0.0,0,2,100.0,6,0,0,0,0,0,0,0.0,
Andrew Mukuba,144129,S,TEXAS,1,36,0,311,0,,,50.0,,,0,0,,60.0,0,,,0,0,0.0,0,1,2.8,2,0,0,0,0,0,0,0.0,,0,2,32.5,0.0,100.0,,14.5,0,0,0.0,42.6,0,,0.0,0,0,39.6,0,31,86.1,31,1,3,2,0,0,0,0.0,
Michael Taaffe,144732,S,TEXAS,1,33,0,311,0,,,100.0,,,0,0,,60.7,0,,,0,0,0.0,0,2,6.1,2,0,0,0,0,0,0,0.0,,0,0,,,100.0,,,0,0,,68.0,0,,0.0,0,0,0.0,0,29,87.9,29,0,1,0,0,0,0,0.0,
Morice Blackwell Jr.,144733,LB,TEXAS,1,4,0,311,0,,,,,,0,0,,,0,,,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,,,0,0,2.0,100.0,80.0,3.0,3.0,0,0,0.0,63.2,0,7,0.0,0,0,95.8,1,4,100.0,5,1,1,1,0,7,5,2.3,7.0
Barryn Sorrell,144739,ED,TEXAS,1,4,0,311,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,2,0,0,0,0,0,0,,,0,0,,,21.1,,,0,0,,61.4,0,,,0,0,0.0,0,4,100.0,19,0,0,0,0,0,0,0.0,
Jordan Hancock,145067,S,OHIO STATE,1,40,0,260,0,4.0,100.0,100.0,7.0,7.0,0,0,0.0,74.3,0,4,0.0,0,0,83.3,1,8,20.0,8,1,1,1,0,4,0,0.6,4.0,0,0,16.2,20.0,91.7,22.0,4.4,0,1,20.0,70.3,0,5,0.0,0,1,39.6,1,22,55.0,24,1,2,5,0,5,8,0.2,5.0
Denzel Burke,145070,CB,OHIO STATE,1,17,0,260,0,5.0,100.0,100.0,4.0,4.0,0,0,0.0,52.8,0,24,100.0,1,0,118.8,1,4,23.5,4,0,0,1,0,24,19,6.0,24.0,0,0,,,100.0,,,0,0,,71.6,0,,0.0,0,0,0.0,0,10,58.8,10,1,1,0,0,0,0,0.0,
Jack Sawyer,145071,ED,OHIO STATE,1,4,0,260,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,6,0,0,0,0,0,0,,,0,1,,,8.7,,,0,0,,62.3,0,,0.0,0,0,0.0,0,2,50.0,23,0,0,0,0,0,0,0.0,
Tyleik Williams,145080,DI,OHIO STATE,1,1,0,260,0,,,20.0,,,0,0,,59.2,0,,,0,0,0.0,0,1,100.0,5,0,0,0,0,0,0,0.0,,0,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,21,0,0,0,0,0,0,,
