player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Ryan Zimmerman,190598,QB,LOUISVILLE,1,1,0,0,0.0,0,0,-2,0,0,0,0,0.0,0,0,210,0,0,62.5,60.0,63.6,,,,60.0,,-2,0,0,0,0,1,0,0,0,1,0,-2,0,0.0,-2.0,,0
Kayleb Barnett,205487,WR,VANDERBILT,2,1,0,0,0.0,0,0,4,0,1,0,1,20.0,0,0,333,0,0,66.5,87.5,71.1,,,88.7,57.5,60.0,4,0,37,4,6,4,0,0,4,5,0,4,1,1.0,4.0,6.17,1
Bryson Goodwin,190661,WR,TEMPLE,1,1,0,0,0.0,0,0,9,0,0,0,3,0.0,0,1,306,0,1,62.5,70.7,71.2,,,,63.3,61.4,9,0,0,0,0,8,0,0,0,1,0,9,3,3.0,9.0,,0
Bryce Bohanon,144404,WR,TULANE,2,1,0,0,,0,0,0,2,3,0,1,42.9,0,0,319,0,0,67.4,60.3,77.2,,,61.0,59.6,55.3,0,0,65,6,28,23,0,0,10,7,0,0,1,1.0,0.0,2.32,1
Jacob Emmers,190724,WR,TULSA,2,1,1,0,,0,0,0,0,0,1,11,183.3,0,0,320,0,0,67.0,66.1,74.8,,,68.0,57.6,62.2,0,0,34,5,14,18,0,0,6,6,0,0,11,11.0,0.0,2.43,0
Malik Rutherford,143929,WR,GA TECH,2,1,1,0,0.0,0,0,13,0,0,1,9,150.0,1,1,176,0,1,67.0,75.2,76.9,,,71.9,63.4,60.1,13,0,62,5,10,5,0,0,6,6,0,13,9,9.0,13.0,6.2,0
Daylon Gordon,143915,HB,GA TECH,1,1,0,0,0.0,0,0,3,0,0,0,3,0.0,0,0,176,0,1,64.3,59.3,69.6,,,60.1,59.6,,3,0,4,1,5,1,0,0,1,2,0,3,3,3.0,3.0,0.8,0
Dre'lon Miller,190790,WR,COLORADO,2,1,0,0,0.0,0,0,3,2,0,0,2,0.0,0,0,143,0,0,66.0,47.4,79.1,,,47.8,59.6,52.2,3,0,14,3,57,35,0,0,9,4,0,3,2,2.0,3.0,0.25,1
Justin Smith-Brown,142775,WR,W VIRGINIA,2,1,0,0,0.0,0,0,-10,0,0,0,0,0.0,0,0,343,1,0,7.8,37.3,74.9,,,57.6,45.7,61.6,-10,0,0,0,4,11,0,0,0,1,0,-10,0,0.0,-10.0,0.0,1
Micah Ka'apana,190834,HB,MICHIGAN,1,1,0,0,0.0,0,0,4,0,0,0,6,0.0,0,0,222,0,0,62.5,53.0,67.8,,,,57.5,,4,0,0,0,0,1,0,0,0,1,0,4,6,6.0,4.0,,0
Larenzo McMillan,138489,HB,NEW MEX ST,1,1,1,0,0.0,0,0,5,0,0,1,8,800.0,0,0,242,0,1,62.5,68.6,65.3,,,,63.1,,5,0,0,0,0,1,0,0,0,1,0,5,8,8.0,5.0,,0
Charleston French,190846,HB,N CAROLINA,2,1,0,0,0.0,0,0,3,0,0,0,3,0.0,0,0,245,0,1,64.3,55.9,66.8,,26.4,64.8,57.6,,3,0,1,1,2,1,0,0,1,2,0,3,3,3.0,3.0,0.5,0
Dermaricus Davis,190930,QB,HAWAII,1,1,1,0,0.0,0,0,1,0,0,1,5,500.0,0,0,180,0,1,62.5,69.6,63.6,,,,63.4,,1,0,0,0,0,1,0,0,0,1,0,1,5,5.0,1.0,,0
Logan Loya,131801,WR,MINNESOTA,2,1,0,0,0.0,0,0,-5,0,0,0,0,0.0,0,0,225,0,0,65.3,56.6,75.3,,,57.9,57.5,59.7,-5,0,18,2,22,16,0,0,3,3,0,-5,0,0.0,-5.0,0.82,1
Cameron Bates,190986,WR,BOISE ST,2,1,2,1,100.0,20,0,20,0,1,2,18,1.8e3,1,1,120,0,0,65.3,66.6,76.4,,,61.0,69.4,61.7,20,0,33,2,24,14,0,0,6,3,1,20,18,18.0,20.0,1.38,0
Trayvon Rudolph,130577,WR,TOLEDO,2,1,0,0,0.0,0,0,1,0,0,0,2,0.0,0,0,316,0,0,68.3,60.1,80.2,,,59.5,59.6,62.6,1,0,48,5,42,44,0,0,8,6,0,1,2,2.0,1.0,1.14,1
Kadenn Rose,191042,HB,C MICHIGAN,1,1,0,0,0.0,0,0,-1,0,0,0,2,0.0,0,0,134,0,0,62.5,59.2,62.7,,,,59.6,,-1,0,0,0,0,1,0,0,0,1,0,-1,2,2.0,-1.0,,1
Riley Nowakowski,129928,TE,INDIANA,2,1,0,0,0.0,0,0,1,0,1,0,1,25.0,0,1,190,0,0,66.0,78.0,79.1,,75.3,66.6,63.3,71.9,1,0,29,3,21,68,0,0,5,4,1,1,1,1.0,1.0,1.38,1
Jordan Ross,191068,WR,COLO STATE,2,1,0,0,0.0,0,0,-9,0,1,0,0,0.0,0,0,144,0,0,66.0,53.9,78.7,,,53.6,59.5,60.3,-9,0,25,3,49,36,0,0,7,4,0,-9,0,0.0,-9.0,0.51,0
Doug Emilien,129648,WR,KANSAS,3,1,0,0,0.0,0,0,2,0,1,0,3,150.0,0,0,198,1,1,61.0,52.5,77.1,,,53.7,59.1,59.2,2,0,5,1,21,23,0,0,5,2,0,2,3,3.0,2.0,0.24,0
Xavier Gayten,191197,HB,MISS STATE,1,1,0,0,0.0,0,0,3,0,1,0,2,100.0,0,1,227,0,1,64.3,58.3,70.7,,67.5,58.3,59.5,60.0,3,0,-4,1,5,2,0,0,1,2,0,3,2,2.0,3.0,-0.8,0
Cornell Hatcher Jr.,191215,HB,OREGON ST,2,1,0,0,0.0,0,0,10,0,0,0,8,0.0,1,1,265,0,0,64.3,66.5,69.7,,68.7,61.7,63.5,,10,0,4,1,4,1,0,0,1,2,0,10,8,8.0,10.0,1.0,1
Josh Hoover,127148,QB,TCU,1,1,0,0,0.0,0,0,0,0,0,0,,100.0,0,0,305,0,0,69.0,79.2,76.5,79.7,,,57.3,60.0,3,0,0,0,0,23,3,1,0,0,0,3,4,4.0,3.0,,0
Maxwell Woods,192051,HB,WASH STATE,1,1,0,0,0.0,0,0,4,0,0,0,1,0.0,0,0,341,0,1,62.5,54.9,68.2,,,58.2,57.6,60.0,4,0,0,0,3,3,0,0,1,1,0,4,1,1.0,4.0,0.0,0
Matthew Henry,192936,WR,W KENTUCKY,3,1,0,0,,0,0,0,0,0,0,2,0.0,0,0,346,0,1,69.0,74.1,83.2,,,73.7,59.6,61.8,0,0,198,11,91,38,0,0,19,12,0,0,2,2.0,0.0,2.18,0
Malachi James,196997,HB,SYRACUSE,1,1,0,0,0.0,0,0,-5,0,0,0,0,0.0,0,0,304,0,1,62.5,55.8,66.2,,,60.0,57.6,,-5,0,0,0,1,1,0,0,0,1,0,-5,0,0.0,-5.0,0.0,0
Cian McKelvey,197651,HB,USC,1,1,0,0,0.0,0,0,4,0,0,0,3,0.0,0,0,326,0,0,62.5,57.1,63.5,,,,58.2,,4,0,0,0,0,1,0,0,0,1,0,4,3,3.0,4.0,,1
Christian Neptune,206238,WR,USF,2,1,0,0,,0,0,0,1,1,0,1,16.7,0,0,327,0,1,67.0,55.4,76.4,,,57.1,59.7,45.3,0,0,39,5,33,17,0,0,9,6,0,0,1,1.0,0.0,1.18,0
Matt Long,198041,WR,AIR FORCE,1,1,0,0,0.0,0,0,2,0,0,0,1,0.0,0,0,101,0,0,62.5,64.0,70.3,,,,59.1,69.7,2,0,0,0,0,12,0,0,0,1,0,2,1,1.0,2.0,,1
Jackson King,198049,QB,AIR FORCE,1,1,0,0,0.0,0,0,-2,0,0,0,0,0.0,0,0,101,0,0,62.5,60.0,63.6,,,,60.0,,-2,0,0,0,0,1,0,0,0,1,0,-2,0,0.0,-2.0,,0
Keelon Russell,198077,QB,ALABAMA,1,1,0,0,0.0,0,0,1,0,0,0,1,0.0,0,0,103,0,1,65.9,76.4,71.0,79.3,,,58.7,60.0,1,0,0,0,0,6,0,0,0,1,0,1,1,1.0,1.0,,0
Landon Ransom-Goelz,126402,WR,RICE,2,1,0,0,0.0,0,0,7,0,0,0,1,0.0,0,0,275,0,1,64.3,70.1,80.1,,,62.1,63.1,70.8,7,0,11,1,13,51,0,0,2,2,0,7,1,1.0,7.0,0.85,0
Quentin Gibson,198298,WR,COLORADO,2,1,0,0,0.0,0,0,7,0,0,0,0,0.0,0,0,143,0,0,66.8,63.4,74.4,,,62.9,,60.8,7,0,12,3,14,11,0,0,4,4,0,7,0,0.0,7.0,0.86,0
Jayon Farrar,198455,WR,FRESNO ST,3,1,1,0,0.0,0,0,-1,0,1,1,7,280.0,0,0,169,0,0,66.5,69.7,77.7,,,67.7,63.1,55.3,-1,0,37,4,22,30,0,0,5,5,0,-1,7,7.0,-1.0,1.68,0
Michael Scott,198579,WR,JAMES MAD,2,1,1,0,0.0,0,0,1,0,1,1,10,400.0,0,0,197,1,0,14.2,58.6,75.3,,,56.2,63.2,61.8,1,0,38,4,19,20,0,0,4,5,0,1,10,10.0,1.0,2.0,0
Ken Seals,124359,QB,TCU,1,1,0,0,0.0,0,0,-1,0,0,0,0,0.0,0,0,305,0,0,63.7,57.6,71.0,48.5,,,60.0,60.0,-1,0,0,0,0,12,0,0,0,1,0,-1,0,0.0,-1.0,,0
Max Johnson,124099,QB,N CAROLINA,1,1,0,0,,0,0,0,0,0,0,0,0.0,0,0,245,1,1,65.6,74.1,0.0,79.4,,,60.0,60.0,0,1,0,0,0,6,0,0,0,1,0,0,0,0.0,0.0,,0
Kamario Taylor,198868,QB,MISS STATE,1,1,0,0,0.0,0,0,3,0,0,0,0,0.0,0,1,227,0,1,65.5,75.2,66.6,,,,68.3,60.0,3,0,0,0,0,3,0,0,0,1,0,3,0,0.0,3.0,,0
Kolin Wilson,198870,HB,MISS STATE,1,1,0,0,0.0,0,0,3,0,0,0,2,0.0,0,0,227,0,0,62.5,59.3,62.7,,,,59.7,,3,0,0,0,0,1,0,0,0,1,0,3,2,2.0,3.0,,1
Carson Beck,124010,QB,MIAMI FL,2,1,0,0,0.0,0,0,0,0,0,0,,100.0,0,0,220,0,0,70.2,74.6,39.9,74.8,,,61.8,60.0,5,1,0,0,0,53,5,1,0,0,0,5,2,2.0,5.0,,0
Troy Marquez,199062,HB,DOMINION,1,1,0,0,0.0,0,0,8,0,0,0,5,0.0,0,1,263,0,0,65.5,65.3,68.9,,71.5,,63.6,60.0,8,0,0,0,0,5,0,0,0,1,0,8,5,5.0,8.0,,1
Semaj Pierre,199107,WR,RICE,1,1,0,0,0.0,0,0,2,0,0,0,1,0.0,0,0,275,0,0,62.5,53.3,65.3,,,59.1,58.8,,2,0,0,0,1,1,0,0,0,1,0,2,1,1.0,2.0,0.0,0
Link Rhodes,199156,WR,SMU,2,1,1,0,0.0,0,0,-1,0,0,1,6,300.0,0,0,287,0,0,64.3,61.5,72.6,,,57.5,63.2,60.7,-1,0,8,1,6,8,0,0,1,2,0,-1,6,6.0,-1.0,1.33,0
Ty Hawkins,199163,QB,SMU,1,1,0,0,0.0,0,0,12,0,0,0,1,0.0,1,1,287,0,0,62.5,68.7,66.6,,,,63.5,60.0,12,0,0,0,0,3,0,0,0,1,0,12,1,1.0,12.0,,1
Weston Bryan,207846,QB,GA SOUTHRN,2,1,0,0,0.0,0,0,3,0,0,0,2,0.0,0,0,174,0,1,63.7,72.0,65.5,77.1,,,57.9,,3,0,0,0,0,1,0,0,0,1,0,3,2,2.0,3.0,,0
Jaylin Carter,199210,WR,SO MISS,1,1,0,0,0.0,0,0,2,0,0,0,1,0.0,0,0,296,0,0,62.5,57.0,63.5,,,,58.2,,2,0,0,0,0,1,0,0,0,1,0,2,1,1.0,2.0,,1
Raiden Vines-Bright,199523,WR,WASHINGTON,2,1,2,0,0.0,0,0,1,0,1,2,3,300.0,0,0,340,0,0,65.3,68.2,77.0,,,65.8,62.2,61.5,1,0,52,2,26,26,0,0,2,3,0,1,3,3.0,1.0,2.0,0
Nathaneal Floyd,123138,WR,NEVADA,2,1,0,0,0.0,0,1,2,0,0,0,-1,0.0,0,0,239,0,1,62.5,47.0,0.0,,,54.6,57.9,60.9,2,1,0,0,6,9,0,0,0,1,0,2,-1,-1.0,2.0,0.0,0
Shane Marshall,199684,HB,GA TECH,1,1,0,0,0.0,0,0,2,0,0,0,3,0.0,0,0,176,0,1,62.5,53.8,67.5,,67.8,59.9,57.3,60.0,2,0,0,0,1,2,0,0,0,1,0,2,3,3.0,2.0,0.0,0
Zane Smith,199706,HB,HOUSTON,1,1,0,0,0.0,0,0,5,0,0,0,2,0.0,0,0,182,0,1,62.5,66.1,62.7,,,,63.7,,5,0,0,0,0,1,0,0,0,1,0,5,2,2.0,5.0,,0
Trebor Pena,123051,WR,PENN STATE,2,1,0,0,0.0,0,0,13,1,2,0,3,60.0,1,1,266,0,1,70.9,68.6,80.0,,,65.2,63.1,80.6,13,0,106,9,58,32,0,0,13,10,0,13,3,3.0,13.0,1.83,0
Elijah Faulkner,199784,HB,UMASS,1,1,0,0,0.0,0,0,3,0,0,0,1,0.0,0,0,216,0,0,62.5,54.4,66.0,,,59.1,58.2,,3,0,0,0,1,1,0,0,0,1,0,3,1,1.0,3.0,0.0,1
Isaiah Mozee,199811,WR,NEBRASKA,2,1,0,0,0.0,0,0,-2,0,5,0,0,0.0,0,0,238,0,0,66.5,72.9,72.6,,,79.9,57.1,59.6,-2,0,67,4,11,4,0,0,4,5,0,-2,0,0.0,-2.0,6.09,1
